sample_name,pop,country,sex,stage,latitude,longitude,collector,catching_method,host_plant_genus,date,notes,,,
GUL10,Gulset,Norway,M,adult,59.2440088,9.58981581,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
GUL11,Gulset,Norway,M,adult,59.2440088,9.58981581,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
GUL12,Gulset,Norway,M,adult,59.2440088,9.58981581,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
GUL3,Gulset,Norway,M,adult,59.2440088,9.58981581,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
GUL9,Gulset,Norway,M,adult,59.2440088,9.58981581,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
OSL1,Oslo,Norway,M,adult,59.9091681,10.6664795,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
OSL10,Oslo,Norway,M,adult,59.9091681,10.6664795,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
OSL12,Oslo,Norway,M,adult,59.9091681,10.6664795,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
OSL2,Oslo,Norway,M,adult,59.9091681,10.6664795,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
OSL5,Oslo,Norway,M,adult,59.9091681,10.6664795,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
OSL6,Oslo,Norway,M,adult,59.9091681,10.6664795,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
OSL8,Oslo,Norway,M,adult,59.9091681,10.6664795,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
CHA_M62,Channerwick,UK,M,adult,59.99118,-1.28359,Kevin Learmonth,by_hand,erica,,,,,
CHA_M64,Channerwick,UK,M,adult,59.99118,-1.28359,Kevin Learmonth,by_hand,erica,,,,,
CHA_M69,Channerwick,UK,M,adult,59.99118,-1.28359,Kevin Learmonth,by_hand,erica,,,,,
CHA_M66,Channerwick,UK,M,adult,59.99118,-1.28359,Kevin Learmonth,by_hand,erica,,,,,
CHA_M61,Channerwick,UK,M,adult,59.99118,-1.28359,Kevin Learmonth,by_hand,erica,,,,,
CHA_M63,Channerwick,UK,M,adult,59.99118,-1.28359,Kevin Learmonth,by_hand,erica,,,,,
CHA_M70,Channerwick,UK,M,adult,59.99118,-1.28359,Kevin Learmonth,by_hand,erica,,,,,
STF_M50,Stromfirth,UK,M,adult,60.23966,-1.25153,Kevin Learmonth,by_hand,erica,,,,,
STF_M51,Stromfirth,UK,M,adult,60.23966,-1.25153,Kevin Learmonth,by_hand,erica,,,,,
